checkpoint,roc_auc,avg_precision,accuracy,epoch_num
anomaly_detector_epoch=09.ckpt,0.5652091754,0.2208263192955674,0.8,9
anomaly_detector_epoch=19.ckpt,0.5331051608,0.21122977590692754,0.2,19
anomaly_detector_epoch=29.ckpt,0.5,0.2,0.8,29
anomaly_detector_epoch=39.ckpt,0.48135344875,0.19525400111576224,0.8,39
anomaly_detector_epoch=49.ckpt,0.5,0.2,0.2,49
anomaly_detector_epoch=59.ckpt,0.5027075,0.2008701709380413,0.2,59
anomaly_detector_epoch=69.ckpt,0.5151151210499999,0.20231372574517323,0.8,69
anomaly_detector_epoch=79.ckpt,0.37625225305,0.1521490595397112,0.2,79
anomaly_detector_epoch=89.ckpt,0.5643000502500001,0.2259651261278737,0.2,89
anomaly_detector_epoch=99.ckpt,0.52965248025,0.2062742158959563,0.8,99
anomaly_detector_epoch=109.ckpt,0.5,0.2,0.8,109
anomaly_detector_epoch=119.ckpt,0.44897166955000006,0.18752864074888576,0.8,119
anomaly_detector_epoch=129.ckpt,0.5116660528,0.2038079281229192,0.8,129
anomaly_detector_epoch=139.ckpt,0.39060511135,0.1581229308460007,0.8,139
anomaly_detector_epoch=149.ckpt,0.4056922722,0.1732976332253544,0.8,149
anomaly_detector_epoch=159.ckpt,0.6100893536,0.24536536215200283,0.8,159
anomaly_detector_epoch=169.ckpt,0.5,0.2,0.8,169
anomaly_detector_epoch=179.ckpt,0.4163648782,0.1791337842187949,0.2,179
anomaly_detector_epoch=189.ckpt,0.63399614295,0.27838282484138166,0.8,189
anomaly_detector_epoch=199.ckpt,0.4295788066,0.20108160994494048,0.8,199
anomaly_detector_epoch=209.ckpt,0.6004418743,0.22267006169827327,0.8,209
anomaly_detector_epoch=219.ckpt,0.5347464334,0.21215241580987831,0.8,219
anomaly_detector_epoch=229.ckpt,0.3737573072,0.14903970630773877,0.8,229
anomaly_detector_epoch=239.ckpt,0.506795,0.2021991330811209,0.2,239
anomaly_detector_epoch=249.ckpt,0.45732881540000003,0.1894742710599647,0.2,249
anomaly_detector_epoch=259.ckpt,0.4647855445,0.18966074928244847,0.2,259
anomaly_detector_epoch=269.ckpt,0.5,0.2,0.2,269
anomaly_detector_epoch=279.ckpt,0.58696250505,0.22659832089048462,0.8,279
anomaly_detector_epoch=289.ckpt,0.45670930885,0.183346228803875,0.8,289
anomaly_detector_epoch=299.ckpt,0.48592498675000007,0.19914194104960461,0.8,299
